match_id,date,season,venue,winner,win_by,match_type,player_of_match,umpire_1,umpire_2,inning1_runs,inning1_wickets,inning1_extras,inning1_pp_runs,inning1_death_runs,team1,inning2_runs,inning2_wickets,inning2_extras,inning2_pp_runs,inning2_death_runs,team2,target,run_diff,team1_win_rate,team2_win_rate,h2h_team1_win_rate,team1_recent_form,team2_recent_form,venue_team1_win_rate,team1_avg_inning1
1075988,2017-02-10,2017,Dubai International Cricket Stadium,Peshawar Zalmi,wickets 7,regular,EJG Morgan,Ahmed Shahab,Ahsan Raza,118,7,3,28,33,Karachi Kings,119.0,3.0,4.0,41.0,16.0,Peshawar Zalmi,0,-1.0,0.25,0.5,0.0,0.2,0.4,0.2,140.33333333333334
1075990,2017-02-11,2017,Dubai International Cricket Stadium,Quetta Gladiators,wickets 7,regular,RR Rossouw,Aleem Dar,Rashid Riaz,159,8,2,37,45,Karachi Kings,160.0,3.0,6.0,39.0,31.0,Quetta Gladiators,0,-1.0,0.2222222222222222,0.7272727272727273,0.0,0.0,0.6,0.16666666666666666,137.14285714285714
1075989,2017-02-11,2017,Dubai International Cricket Stadium,Lahore Qalandars,wickets 6,regular,JJ Roy,Asif Yaqoob,Shozab Raza,158,7,8,48,43,Islamabad United,160.0,4.0,6.0,50.0,32.0,Lahore Qalandars,0,-2.0,0.6666666666666666,0.2222222222222222,1.0,1.0,0.2,0.75,141.0
1075991,2017-02-12,2017,Dubai International Cricket Stadium,Peshawar Zalmi,wickets 3,regular,Yasir Shah,Aleem Dar,RK Illingworth,59,10,2,47,0,Lahore Qalandars,60.0,7.0,6.0,20.0,5.0,Peshawar Zalmi,0,-1.0,0.3,0.5454545454545454,0.5,0.4,0.4,0.2857142857142857,159.57142857142858
1075992,2017-02-15,2017,Sharjah Cricket Stadium,Islamabad United,wickets 5,regular,SW Billings,Aleem Dar,RK Illingworth,148,6,2,44,37,Quetta Gladiators,149.0,5.0,8.0,40.0,36.0,Islamabad United,0,-1.0,0.75,0.6153846153846154,0.6666666666666666,0.8,0.8,0.6666666666666666,143.0
1075993,2017-02-16,2017,Sharjah Cricket Stadium,Lahore Qalandars,runs 7,regular,Fakhar Zaman,Aleem Dar,RK Illingworth,179,8,9,62,27,Lahore Qalandars,172.0,8.0,10.0,45.0,40.0,Karachi Kings,1,7.0,0.2727272727272727,0.2,0.0,0.2,0.0,0.3333333333333333,147.0
1075995,2017-02-17,2017,Sharjah Cricket Stadium,Karachi Kings,runs 8,regular,Babar Azam,Aleem Dar,RK Illingworth,90,8,5,32,0,Islamabad United,75.0,4.0,9.0,50.0,0.0,Karachi Kings,0,15.0,0.6428571428571429,0.18181818181818182,1.0,0.8,0.0,0.6,143.83333333333334
1075994,2017-02-17,2017,Sharjah Cricket Stadium,No result,no result,regular,,Ahsan Raza,Asif Yaqoob,117,3,8,41,0,Peshawar Zalmi,,,,,,,0,,0.5833333333333334,0.5,0.5,0.4,0.5,0.6666666666666666,156.66666666666666
1075997,2017-02-18,2017,Sharjah Cricket Stadium,Islamabad United,wickets 5,regular,Mohammad Sami,Aleem Dar,RK Illingworth,136,9,8,38,28,Peshawar Zalmi,137.0,5.0,5.0,23.0,38.0,Islamabad United,0,-1.0,0.5384615384615384,0.6,0.5,0.4,0.6,0.5,146.75
1075996,2017-02-18,2017,Sharjah Cricket Stadium,Quetta Gladiators,wickets 5,regular,KP Pietersen,Rashid Riaz,Shozab Raza,200,3,4,75,54,Lahore Qalandars,202.0,5.0,3.0,51.0,63.0,Quetta Gladiators,0,-2.0,0.3333333333333333,0.6923076923076923,0.3333333333333333,0.4,0.6,0.5,150.55555555555554
1075998,2017-02-19,2017,Sharjah Cricket Stadium,Karachi Kings,runs 9,regular,Shoaib Malik,Ahmed Shahab,Aleem Dar,174,4,4,47,55,Karachi Kings,165.0,10.0,8.0,39.0,53.0,Peshawar Zalmi,1,9.0,0.25,0.5,0.0,0.2,0.4,0.4,139.875
1075999,2017-02-20,2017,Sharjah Cricket Stadium,Lahore Qalandars,wickets 1,regular,Umar Akmal,Ahmed Shahab,Ahsan Raza,145,8,9,37,41,Islamabad United,146.0,9.0,9.0,29.0,36.0,Lahore Qalandars,0,-1.0,0.625,0.3076923076923077,0.6666666666666666,0.6,0.4,0.5714285714285714,136.14285714285714
1076000,2017-02-23,2017,Dubai International Cricket Stadium,Quetta Gladiators,wickets 6,regular,Mahmudullah,Aleem Dar,REJ Martinesz,154,6,14,50,44,Karachi Kings,158.0,4.0,11.0,49.0,22.0,Quetta Gladiators,0,-4.0,0.3076923076923077,0.7142857142857143,0.0,0.4,0.6,0.14285714285714285,143.66666666666666
1076002,2017-02-24,2017,Dubai International Cricket Stadium,Islamabad United,runs 1,regular,Mohammad Sami,Ahsan Raza,Aleem Dar,165,6,7,41,46,Islamabad United,164.0,5.0,14.0,44.0,23.0,Quetta Gladiators,1,1.0,0.5882352941176471,0.7333333333333333,0.5,0.4,0.8,0.6666666666666666,137.25
1076001,2017-02-24,2017,Dubai International Cricket Stadium,Peshawar Zalmi,runs 17,regular,Shakib Al Hasan,REJ Martinesz,Shozab Raza,166,6,16,52,37,Peshawar Zalmi,149.0,9.0,1.0,45.0,31.0,Lahore Qalandars,1,17.0,0.4666666666666667,0.35714285714285715,0.6666666666666666,0.4,0.6,0.5555555555555556,144.6
1076004,2017-02-25,2017,Dubai International Cricket Stadium,Peshawar Zalmi,wickets 2,regular,Mohammad Asghar,Ahmed Shahab,Ahsan Raza,128,10,12,28,16,Quetta Gladiators,130.0,8.0,13.0,37.0,41.0,Peshawar Zalmi,0,-2.0,0.6875,0.5,0.6666666666666666,0.6,0.4,0.7272727272727273,144.0
1076003,2017-02-25,2017,Dubai International Cricket Stadium,Karachi Kings,wickets 5,regular,KA Pollard,REJ Martinesz,Shozab Raza,155,6,10,42,46,Lahore Qalandars,158.0,5.0,7.0,43.0,50.0,Karachi Kings,0,-3.0,0.3333333333333333,0.2857142857142857,0.3333333333333333,0.4,0.4,0.2222222222222222,155.5
1076005,2017-02-26,2017,Dubai International Cricket Stadium,Karachi Kings,wickets 6,regular,CH Gayle,Aleem Dar,REJ Martinesz,123,7,4,43,0,Islamabad United,127.0,4.0,8.0,64.0,0.0,Karachi Kings,0,-4.0,0.6111111111111112,0.3333333333333333,0.75,0.6,0.6,0.7,140.33333333333334
1076006,2017-02-28,2017,Sharjah Cricket Stadium,Quetta Gladiators,runs 1,qualifier,Ahmed Shehzad,REJ Martinesz,Shozab Raza,200,7,12,59,40,Quetta Gladiators,199.0,9.0,13.0,38.0,32.0,Peshawar Zalmi,1,1.0,0.6470588235294118,0.5294117647058824,0.5,0.4,0.4,0.6,141.33333333333334
1076007,2017-03-01,2017,Sharjah Cricket Stadium,Karachi Kings,runs 44,qualifier,Imad Wasim,REJ Martinesz,Shozab Raza,126,10,6,42,20,Karachi Kings,82.0,10.0,5.0,34.0,0.0,Islamabad United,1,44.0,0.375,0.5789473684210527,0.4,0.8,0.4,0.5,144.7
1076008,2017-03-03,2017,Dubai International Cricket Stadium,Peshawar Zalmi,runs 24,qualifier,Kamran Akmal,Ahsan Raza,REJ Martinesz,181,3,4,47,36,Peshawar Zalmi,157.0,7.0,12.0,23.0,26.0,Karachi Kings,1,24.0,0.5,0.4117647058823529,0.6666666666666666,0.4,0.8,0.6363636363636364,148.16666666666666
1076009,2017-03-05,2017,Gaddafi Stadium,Peshawar Zalmi,runs 58,final,DJG Sammy,Ahsan Raza,REJ Martinesz,148,6,10,52,38,Peshawar Zalmi,90.0,10.0,4.0,31.0,2.0,Quetta Gladiators,1,58.0,0.5263157894736842,0.6666666666666666,0.4,0.6,0.6,0.5,152.85714285714286
1128818,2018-02-22,2018,Dubai International Cricket Stadium,Multan Sultans,wickets 7,regular,KC Sangakkara,Ahmed Shahab,RT Robinson,151,6,10,29,49,Peshawar Zalmi,152.0,3.0,11.0,43.0,38.0,Multan Sultans,0,-1.0,0.55,0.5,0.5,0.8,0.5,0.6666666666666666,152.25
1128819,2018-02-23,2018,Dubai International Cricket Stadium,Karachi Kings,runs 19,regular,CA Ingram,REJ Martinesz,Rashid Riaz,149,9,9,39,27,Karachi Kings,130.0,9.0,6.0,26.0,23.0,Quetta Gladiators,1,19.0,0.3888888888888889,0.631578947368421,0.0,0.6,0.4,0.2727272727272727,143.0
1128820,2018-02-23,2018,Dubai International Cricket Stadium,Multan Sultans,runs 43,regular,Imran Tahir,Asif Yaqoob,RT Robinson,179,5,16,53,41,Multan Sultans,136.0,10.0,5.0,40.0,1.0,Lahore Qalandars,1,43.0,1.0,0.3125,0.5,1.0,0.4,1.0,147.6530612244898
1128821,2018-02-24,2018,Dubai International Cricket Stadium,Peshawar Zalmi,runs 34,regular,Umaid Asif,REJ Martinesz,Rashid Riaz,176,6,4,57,34,Peshawar Zalmi,142.0,9.0,3.0,38.0,34.0,Islamabad United,1,34.0,0.5238095238095238,0.55,0.4,0.6,0.4,0.6153846153846154,152.11111111111111
1128822,2018-02-24,2018,Dubai International Cricket Stadium,Quetta Gladiators,wickets 9,regular,Mohammad Nawaz (3),Asif Yaqoob,RT Robinson,119,9,4,61,17,Lahore Qalandars,120.0,1.0,3.0,41.0,0.0,Quetta Gladiators,0,-1.0,0.29411764705882354,0.6,0.25,0.2,0.2,0.18181818181818182,155.45454545454547
1128823,2018-02-25,2018,Dubai International Cricket Stadium,Islamabad United,wickets 5,regular,Hussain Talat,REJ Martinesz,Rashid Riaz,113,10,3,24,18,Multan Sultans,117.0,5.0,9.0,39.0,19.0,Islamabad United,0,-4.0,1.0,0.5238095238095238,0.5,1.0,0.2,1.0,179.0
1128824,2018-02-25,2018,Dubai International Cricket Stadium,Karachi Kings,wickets 5,regular,DR Smith,REJ Martinesz,RT Robinson,131,9,7,37,48,Peshawar Zalmi,135.0,5.0,7.0,46.0,31.0,Karachi Kings,0,-4.0,0.5454545454545454,0.42105263157894735,0.75,0.6,0.8,0.6428571428571429,154.5
1128825,2018-02-26,2018,Dubai International Cricket Stadium,Karachi Kings,runs 27,regular,Shahid Afridi,REJ Martinesz,RT Robinson,159,7,7,39,55,Karachi Kings,132.0,10.0,12.0,68.0,10.0,Lahore Qalandars,1,27.0,0.45,0.2777777777777778,0.75,0.8,0.2,0.38461538461538464,143.5
1128826,2018-02-28,2018,Sharjah Cricket Stadium,Quetta Gladiators,wickets 6,regular,KP Pietersen,REJ Martinesz,RT Robinson,134,7,8,52,36,Islamabad United,135.0,4.0,14.0,48.0,8.0,Quetta Gladiators,0,-1.0,0.5454545454545454,0.6190476190476191,0.6,0.4,0.4,0.4444444444444444,138.6
1128827,2018-03-01,2018,Sharjah Cricket Stadium,Peshawar Zalmi,wickets 5,regular,DJG Sammy,RT Robinson,Aleem Dar,141,8,3,31,22,Quetta Gladiators,143.0,5.0,11.0,47.0,34.0,Peshawar Zalmi,0,-2.0,0.6363636363636364,0.5217391304347826,0.5,0.6,0.6,0.7142857142857143,149.71428571428572
1128829,2018-03-02,2018,Sharjah Cricket Stadium,No result,tie,regular,Mohammad Sami,REJ Martinesz,Khalid Mahmood,121,9,3,25,36,Islamabad United,121.0,10.0,9.0,39.0,26.0,Lahore Qalandars,0,0.0,0.5217391304347826,0.2631578947368421,0.5,0.2,0.0,0.4,138.1818181818182
1128830,2018-03-03,2018,Sharjah Cricket Stadium,Multan Sultans,wickets 9,regular,Sohail Tanvir,Ahmed Shahab,Aleem Dar,102,10,16,42,0,Quetta Gladiators,108.0,1.0,4.0,37.0,6.0,Multan Sultans,0,-6.0,0.6086956521739131,0.6666666666666666,0.5,0.4,0.6666666666666666,0.625,148.625
1128831,2018-03-03,2018,Sharjah Cricket Stadium,Peshawar Zalmi,wickets 10,regular,LA Dawson,REJ Martinesz,RT Robinson,100,10,7,53,1,Lahore Qalandars,104.0,0.0,10.0,41.0,0.0,Peshawar Zalmi,0,-4.0,0.25,0.5416666666666666,0.25,0.0,0.6,0.42857142857142855,152.41666666666666
1128832,2018-03-04,2018,Sharjah Cricket Stadium,Islamabad United,wickets 8,regular,L Ronchi,RT Robinson,Aleem Dar,153,6,2,32,43,Karachi Kings,156.0,2.0,8.0,61.0,22.0,Islamabad United,0,-3.0,0.47619047619047616,0.5,0.5,0.8,0.2,0.5714285714285714,144.69230769230768
1128833,2018-03-06,2018,Dubai International Cricket Stadium,Multan Sultans,runs 19,regular,Sohaib Maqsood,Asif Yaqoob,Aleem Dar,183,3,4,41,60,Multan Sultans,164.0,8.0,7.0,39.0,36.0,Peshawar Zalmi,1,19.0,0.75,0.56,1.0,0.75,0.6,0.6666666666666666,146.0
1128834,2018-03-07,2018,Dubai International Cricket Stadium,Quetta Gladiators,wickets 2,regular,Umar Gul,RT Robinson,Aleem Dar,152,5,9,35,46,Multan Sultans,156.0,8.0,7.0,46.0,43.0,Quetta Gladiators,0,-4.0,0.8,0.5833333333333334,1.0,0.8,0.4,0.75,158.33333333333334
1128835,2018-03-08,2018,Dubai International Cricket Stadium,Islamabad United,wickets 6,regular,L Ronchi,RT Robinson,Aleem Dar,163,8,8,49,43,Lahore Qalandars,164.0,4.0,12.0,59.0,13.0,Islamabad United,0,-1.0,0.23809523809523808,0.52,0.4,0.0,0.4,0.15384615384615385,148.3846153846154
1128836,2018-03-08,2018,Dubai International Cricket Stadium,Quetta Gladiators,runs 67,regular,SR Watson,Asif Yaqoob,Shozab Raza,180,4,2,52,36,Quetta Gladiators,113.0,8.0,2.0,32.0,19.0,Karachi Kings,1,67.0,0.6,0.45454545454545453,0.8,0.6,0.6,0.6666666666666666,143.44444444444446
1128837,2018-03-09,2018,Dubai International Cricket Stadium,Lahore Qalandars,wickets 6,regular,Shaheen Shah Afridi,Asif Yaqoob,RT Robinson,114,10,4,54,15,Multan Sultans,115.0,4.0,1.0,47.0,21.0,Lahore Qalandars,0,-1.0,0.6666666666666666,0.22727272727272727,1.0,0.6,0.0,0.6,156.75
1128838,2018-03-09,2018,Dubai International Cricket Stadium,Islamabad United,runs 26,regular,JP Duminy,Ahmed Shahab,Aleem Dar,182,5,7,41,37,Islamabad United,156.0,9.0,12.0,48.0,50.0,Peshawar Zalmi,1,26.0,0.5384615384615384,0.5384615384615384,0.5,0.6,0.6,0.6428571428571429,136.75
1128840,2018-03-10,2018,Dubai International Cricket Stadium,Quetta Gladiators,wickets 6,regular,Sarfraz Ahmed,Ahmed Shahab,RT Robinson,157,5,4,37,50,Peshawar Zalmi,158.0,4.0,7.0,41.0,31.0,Quetta Gladiators,0,-1.0,0.5185185185185185,0.6153846153846154,0.5714285714285714,0.4,0.6,0.5294117647058824,152.36363636363637
1128839,2018-03-10,2018,Dubai International Cricket Stadium,Karachi Kings,runs 63,regular,Shahid Afridi,Asif Yaqoob,Aleem Dar,188,3,15,32,60,Karachi Kings,125.0,10.0,5.0,53.0,26.0,Multan Sultans,1,63.0,0.43478260869565216,0.5714285714285714,0.5,0.6,0.4,0.4,145.28571428571428
1128841,2018-03-11,2018,Dubai International Cricket Stadium,No result,tie,regular,Agha Salman,RT Robinson,Aleem Dar,163,5,12,46,40,Karachi Kings,163.0,8.0,19.0,52.0,36.0,Lahore Qalandars,0,0.0,0.4583333333333333,0.2608695652173913,0.8,0.6,0.2,0.4375,148.13333333333333
1128842,2018-03-13,2018,Sharjah Cricket Stadium,Islamabad United,runs 33,regular,L Ronchi,Aleem Dar,Rashid Riaz,185,4,9,54,43,Islamabad United,152.0,10.0,12.0,25.0,33.0,Multan Sultans,1,33.0,0.5555555555555556,0.5,1.0,0.6,0.4,0.4166666666666667,140.23076923076923
1128843,2018-03-14,2018,Sharjah Cricket Stadium,Lahore Qalandars,runs 17,regular,Fakhar Zaman,RT Robinson,Rashid Riaz,186,4,6,52,39,Lahore Qalandars,169.0,6.0,10.0,54.0,35.0,Quetta Gladiators,1,17.0,0.25,0.6296296296296297,0.2,0.2,0.6,0.375,149.42857142857142
1128844,2018-03-15,2018,Sharjah Cricket Stadium,Peshawar Zalmi,runs 44,regular,Kamran Akmal,Ahmed Shahab,Shozab Raza,181,6,7,31,62,Peshawar Zalmi,137.0,8.0,8.0,35.0,25.0,Karachi Kings,1,44.0,0.5,0.44,0.6,0.4,0.4,0.4444444444444444,152.75
1128845,2018-03-15,2018,Sharjah Cricket Stadium,Islamabad United,wickets 6,regular,JP Duminy,Aleem Dar,Khalid Mahmood,147,7,10,36,29,Quetta Gladiators,149.0,4.0,5.0,51.0,22.0,Islamabad United,0,-2.0,0.6071428571428571,0.5714285714285714,0.5,0.6,0.8,0.5,147.1
1128847,2018-03-16,2018,Sharjah Cricket Stadium,Karachi Kings,wickets 7,regular,Usman Shinwari,Aleem Dar,Khalid Mahmood,124,10,6,32,13,Islamabad United,125.0,3.0,12.0,50.0,9.0,Karachi Kings,0,-1.0,0.5862068965517241,0.4230769230769231,0.5714285714285714,1.0,0.2,0.5,143.42857142857142
1128846,2018-03-16,2018,Sharjah Cricket Stadium,Peshawar Zalmi,wickets 7,regular,Kamran Akmal,Shozab Raza,Rashid Riaz,172,4,5,49,45,Lahore Qalandars,176.0,3.0,7.0,57.0,28.0,Peshawar Zalmi,0,-4.0,0.28,0.5172413793103449,0.2,0.4,0.4,0.4444444444444444,151.86666666666667
1128848,2018-03-18,2018,Dubai International Cricket Stadium,Islamabad United,wickets 8,qualifier,L Ronchi,Aleem Dar,Rashid Riaz,154,4,4,29,43,Karachi Kings,155.0,2.0,4.0,75.0,0.0,Islamabad United,0,-1.0,0.4444444444444444,0.5666666666666667,0.5,0.4,0.8,0.4117647058823529,149.0625
1128849,2018-03-20,2018,Gaddafi Stadium,Peshawar Zalmi,runs 1,eliminator,Hasan Ali,Aleem Dar,Rashid Riaz,157,10,4,44,43,Peshawar Zalmi,156.0,9.0,14.0,49.0,38.0,Quetta Gladiators,1,1.0,0.5333333333333333,0.5862068965517241,0.5,0.4,0.6,1.0,154.92307692307693
1128850,2018-03-21,2018,Gaddafi Stadium,Peshawar Zalmi,runs 13,eliminator,Kamran Akmal,Shozab Raza,Aleem Dar,170,7,8,69,0,Peshawar Zalmi,157.0,2.0,9.0,51.0,0.0,Karachi Kings,1,13.0,0.5483870967741935,0.42857142857142855,0.6666666666666666,0.6,0.4,1.0,155.07142857142858
1128851,2018-03-25,2018,National Stadium,Islamabad United,wickets 3,final,L Ronchi,Shozab Raza,Aleem Dar,148,9,5,38,36,Peshawar Zalmi,154.0,7.0,6.0,66.0,6.0,Islamabad United,0,-6.0,0.5625,0.5806451612903226,0.42857142857142855,0.8,0.8,0.5,156.06666666666666
1168820,2019-02-14,2019,Dubai International Cricket Stadium,Islamabad United,wickets 5,regular,Faheem Ashraf,RK Illingworth,Rashid Riaz,171,8,9,57,31,Lahore Qalandars,177.0,5.0,11.0,49.0,42.0,Islamabad United,0,-6.0,0.2692307692307692,0.59375,0.3333333333333333,0.4,0.8,0.1875,153.125
1168822,2019-02-15,2019,Dubai International Cricket Stadium,Quetta Gladiators,wickets 6,regular,Umar Akmal,Shozab Raza,RK Illingworth,155,4,6,37,49,Peshawar Zalmi,161.0,4.0,0.0,59.0,30.0,Quetta Gladiators,0,-6.0,0.5454545454545454,0.5666666666666667,0.5555555555555556,0.8,0.4,0.5,155.5625
