match_id,season,venue,batting_team_inn1,bowling_team_inn1,inn1_total_runs,inn1_wickets,inn1_extras,inn1_boundaries,inn1_sixes,inn1_fours,inn1_dot_balls,inn1_pp_runs,inn1_pp_wickets,inn1_death_runs,inn1_death_wickets,inn2_total_runs,inn2_wickets,winner,target,batting_team_enc,bowling_team_enc,venue_enc,inn1_run_rate,inn1_boundary_pct,inn1_dot_ball_pct,pp_run_rate,death_run_rate
959201,2016,Sharjah Cricket Stadium,Karachi Kings,Quetta Gladiators,126,9,5,12,3,9,45,40,1,35,6,127,5,Quetta Gladiators,0,1,5,7,6.3,10.0,37.5,6.67,7.0
959203,2016,Sharjah Cricket Stadium,Lahore Qalandars,Peshawar Zalmi,164,3,8,18,3,15,37,32,1,64,1,160,7,Lahore Qalandars,1,2,4,7,8.2,15.0,30.83,5.33,12.8
959205,2016,Sharjah Cricket Stadium,Karachi Kings,Islamabad United,128,5,7,12,2,10,47,26,2,47,2,131,5,Islamabad United,0,1,0,7,6.4,10.0,39.17,4.33,9.4
959207,2016,Sharjah Cricket Stadium,Quetta Gladiators,Peshawar Zalmi,129,10,14,13,7,6,60,42,2,46,1,130,2,Peshawar Zalmi,0,5,4,7,6.45,10.83,50.0,7.0,9.2
959209,2016,Dubai International Cricket Stadium,Lahore Qalandars,Quetta Gladiators,201,2,5,29,12,17,41,51,0,76,1,203,8,Quetta Gladiators,0,2,5,0,10.05,24.17,34.17,8.5,15.2
959211,2016,Dubai International Cricket Stadium,Karachi Kings,Peshawar Zalmi,152,7,9,15,5,10,50,31,0,48,3,158,5,Peshawar Zalmi,0,1,4,0,7.6,12.5,41.67,5.17,9.6
959213,2016,Dubai International Cricket Stadium,Lahore Qalandars,Islamabad United,150,5,6,16,6,10,52,12,3,69,2,151,5,Islamabad United,0,2,0,0,7.5,13.33,43.33,2.0,13.8
959215,2016,Dubai International Cricket Stadium,Quetta Gladiators,Peshawar Zalmi,133,10,10,17,4,13,60,23,2,27,6,132,9,Quetta Gladiators,1,5,4,0,6.65,14.17,50.0,3.83,5.4
959217,2016,Dubai International Cricket Stadium,Karachi Kings,Islamabad United,111,9,12,9,2,7,64,28,2,37,5,115,1,Islamabad United,0,1,0,0,5.55,7.5,53.33,4.67,7.4
959219,2016,Dubai International Cricket Stadium,Islamabad United,Peshawar Zalmi,176,3,12,23,8,15,50,34,0,56,1,126,10,Islamabad United,1,0,4,0,8.8,19.17,41.67,5.67,11.2
959221,2016,Dubai International Cricket Stadium,Quetta Gladiators,Islamabad United,174,7,2,24,7,17,43,33,1,57,5,175,4,Islamabad United,0,5,0,0,8.7,20.0,35.83,5.5,11.4
1075986,2017,Dubai International Cricket Stadium,Peshawar Zalmi,Islamabad United,190,9,15,23,11,12,49,41,1,54,6,175,3,Islamabad United,0,4,0,0,9.5,19.17,40.83,6.83,10.8
1075987,2017,Dubai International Cricket Stadium,Quetta Gladiators,Lahore Qalandars,136,9,6,12,3,9,47,23,2,56,4,128,10,Quetta Gladiators,1,5,2,0,6.8,10.0,39.17,3.83,11.2
1075988,2017,Dubai International Cricket Stadium,Karachi Kings,Peshawar Zalmi,118,7,3,11,3,8,53,15,4,56,3,119,3,Peshawar Zalmi,0,1,4,0,5.9,9.17,44.17,2.5,11.2
1075989,2017,Dubai International Cricket Stadium,Islamabad United,Lahore Qalandars,158,7,8,18,6,12,46,34,0,60,4,160,4,Lahore Qalandars,0,0,2,0,7.9,15.0,38.33,5.67,12.0
1075990,2017,Dubai International Cricket Stadium,Karachi Kings,Quetta Gladiators,159,8,2,19,5,14,39,34,1,72,5,160,3,Quetta Gladiators,0,1,5,0,7.95,15.83,32.5,5.67,14.4
1075991,2017,Dubai International Cricket Stadium,Lahore Qalandars,Peshawar Zalmi,59,10,2,9,1,8,41,35,4,0,0,60,7,Peshawar Zalmi,0,2,4,0,2.95,7.5,34.17,5.83,0.0
1075992,2017,Sharjah Cricket Stadium,Quetta Gladiators,Islamabad United,148,6,2,15,4,11,37,37,2,57,2,149,5,Islamabad United,0,5,0,7,7.4,12.5,30.83,6.17,11.4
1075993,2017,Sharjah Cricket Stadium,Lahore Qalandars,Karachi Kings,179,8,9,21,6,15,39,57,1,47,4,172,8,Lahore Qalandars,1,2,1,7,8.95,17.5,32.5,9.5,9.4
1075995,2017,Sharjah Cricket Stadium,Islamabad United,Karachi Kings,90,8,5,10,6,4,41,22,2,0,0,75,4,Karachi Kings,0,0,1,7,4.5,8.33,34.17,3.67,0.0
1075996,2017,Sharjah Cricket Stadium,Lahore Qalandars,Quetta Gladiators,200,3,4,27,12,15,36,62,0,75,0,202,5,Quetta Gladiators,0,2,5,7,10.0,22.5,30.0,10.33,15.0
1075997,2017,Sharjah Cricket Stadium,Peshawar Zalmi,Islamabad United,136,9,8,18,4,14,61,28,2,58,3,137,5,Islamabad United,0,4,0,7,6.8,15.0,50.83,4.67,11.6
1075998,2017,Sharjah Cricket Stadium,Karachi Kings,Peshawar Zalmi,174,4,4,22,7,15,37,45,0,72,1,165,10,Karachi Kings,1,1,4,7,8.7,18.33,30.83,7.5,14.4
1075999,2017,Sharjah Cricket Stadium,Islamabad United,Lahore Qalandars,145,8,9,15,8,7,55,36,1,62,2,146,9,Lahore Qalandars,0,0,2,7,7.25,12.5,45.83,6.0,12.4
1076000,2017,Dubai International Cricket Stadium,Karachi Kings,Quetta Gladiators,154,6,14,17,6,11,60,46,0,60,3,158,4,Quetta Gladiators,0,1,5,0,7.7,14.17,50.0,7.67,12.0
1076001,2017,Dubai International Cricket Stadium,Peshawar Zalmi,Lahore Qalandars,166,6,16,18,2,16,46,42,1,60,3,149,9,Peshawar Zalmi,1,4,2,0,8.3,15.0,38.33,7.0,12.0
1076002,2017,Dubai International Cricket Stadium,Islamabad United,Quetta Gladiators,165,6,7,19,7,12,45,30,1,68,3,164,5,Islamabad United,1,0,5,0,8.25,15.83,37.5,5.0,13.6
1076003,2017,Dubai International Cricket Stadium,Lahore Qalandars,Karachi Kings,155,6,10,16,5,11,45,40,1,56,1,158,5,Karachi Kings,0,2,1,0,7.75,13.33,37.5,6.67,11.2
1076004,2017,Dubai International Cricket Stadium,Quetta Gladiators,Peshawar Zalmi,128,10,12,11,3,8,60,23,2,36,7,130,8,Peshawar Zalmi,0,5,4,0,6.4,9.17,50.0,3.83,7.2
1076005,2017,Dubai International Cricket Stadium,Islamabad United,Karachi Kings,123,7,4,14,4,10,33,40,1,11,2,127,4,Karachi Kings,0,0,1,0,6.15,11.67,27.5,6.67,2.2
1076006,2017,Sharjah Cricket Stadium,Quetta Gladiators,Peshawar Zalmi,200,7,12,23,8,15,33,44,1,55,4,199,9,Quetta Gladiators,1,5,4,7,10.0,19.17,27.5,7.33,11.0
1076007,2017,Sharjah Cricket Stadium,Karachi Kings,Islamabad United,126,10,6,16,2,14,58,35,0,34,7,82,10,Karachi Kings,1,1,0,7,6.3,13.33,48.33,5.83,6.8
1076008,2017,Dubai International Cricket Stadium,Peshawar Zalmi,Karachi Kings,181,3,4,22,9,13,36,34,0,59,2,157,7,Peshawar Zalmi,1,4,1,0,9.05,18.33,30.0,5.67,11.8
1076009,2017,Gaddafi Stadium,Peshawar Zalmi,Quetta Gladiators,148,6,10,19,6,13,59,46,1,47,2,90,10,Peshawar Zalmi,1,4,5,1,7.4,15.83,49.17,7.67,9.4
1128818,2018,Dubai International Cricket Stadium,Peshawar Zalmi,Multan Sultans,151,6,10,19,6,13,59,26,2,58,3,152,3,Multan Sultans,0,4,3,0,7.55,15.83,49.17,4.33,11.6
1128819,2018,Dubai International Cricket Stadium,Karachi Kings,Quetta Gladiators,149,9,9,16,2,14,43,35,1,56,6,130,9,Karachi Kings,1,1,5,0,7.45,13.33,35.83,5.83,11.2
1128820,2018,Dubai International Cricket Stadium,Multan Sultans,Lahore Qalandars,179,5,16,20,7,13,45,46,0,69,3,136,10,Multan Sultans,1,3,2,0,8.95,16.67,37.5,7.67,13.8
1128821,2018,Dubai International Cricket Stadium,Peshawar Zalmi,Islamabad United,176,6,4,23,7,16,42,43,0,50,3,142,9,Peshawar Zalmi,1,4,0,0,8.8,19.17,35.0,7.17,10.0
1128822,2018,Dubai International Cricket Stadium,Lahore Qalandars,Quetta Gladiators,119,9,4,15,7,8,68,60,2,26,3,120,1,Quetta Gladiators,0,2,5,0,5.95,12.5,56.67,10.0,5.2
1128823,2018,Dubai International Cricket Stadium,Multan Sultans,Islamabad United,113,10,3,10,3,7,53,18,2,42,6,117,5,Islamabad United,0,3,0,0,5.65,8.33,44.17,3.0,8.4
1128824,2018,Dubai International Cricket Stadium,Peshawar Zalmi,Karachi Kings,131,9,7,16,7,9,70,35,2,60,3,135,5,Karachi Kings,0,4,1,0,6.55,13.33,58.33,5.83,12.0
1128825,2018,Dubai International Cricket Stadium,Karachi Kings,Lahore Qalandars,159,7,7,19,7,12,56,36,2,69,2,132,10,Karachi Kings,1,1,2,0,7.95,15.83,46.67,6.0,13.8
1128826,2018,Sharjah Cricket Stadium,Islamabad United,Quetta Gladiators,134,7,8,13,4,9,57,28,2,41,4,135,4,Quetta Gladiators,0,0,5,7,6.7,10.83,47.5,4.67,8.2
1128827,2018,Sharjah Cricket Stadium,Quetta Gladiators,Peshawar Zalmi,141,8,3,14,7,7,47,29,1,42,4,143,5,Peshawar Zalmi,0,5,4,7,7.05,11.67,39.17,4.83,8.4
1128829,2018,Sharjah Cricket Stadium,Islamabad United,Lahore Qalandars,121,9,3,12,4,8,56,19,2,50,3,121,10,No result,0,0,2,7,6.05,10.0,46.67,3.17,10.0
1128830,2018,Sharjah Cricket Stadium,Quetta Gladiators,Multan Sultans,102,10,16,9,3,6,49,29,2,5,5,108,1,Multan Sultans,0,5,3,7,5.1,7.5,40.83,4.83,1.0
1128831,2018,Sharjah Cricket Stadium,Lahore Qalandars,Peshawar Zalmi,100,10,7,12,5,7,66,48,1,6,4,104,0,Peshawar Zalmi,0,2,4,7,5.0,10.0,55.0,8.0,1.2
1128832,2018,Sharjah Cricket Stadium,Karachi Kings,Islamabad United,153,6,2,19,4,15,41,31,1,62,5,156,2,Islamabad United,0,1,0,7,7.65,15.83,34.17,5.17,12.4
1128833,2018,Dubai International Cricket Stadium,Multan Sultans,Peshawar Zalmi,183,3,4,22,11,11,42,40,0,76,2,164,8,Multan Sultans,1,3,4,0,9.15,18.33,35.0,6.67,15.2
1128834,2018,Dubai International Cricket Stadium,Multan Sultans,Quetta Gladiators,152,5,9,15,7,8,56,30,2,63,1,156,8,Quetta Gladiators,0,3,5,0,7.6,12.5,46.67,5.0,12.6
1128835,2018,Dubai International Cricket Stadium,Lahore Qalandars,Islamabad United,163,8,8,17,8,9,48,47,0,52,6,164,4,Islamabad United,0,2,0,0,8.15,14.17,40.0,7.83,10.4
1128836,2018,Dubai International Cricket Stadium,Quetta Gladiators,Karachi Kings,180,4,2,25,9,16,39,37,0,58,3,113,8,Quetta Gladiators,1,5,1,0,9.0,20.83,32.5,6.17,11.6
1128837,2018,Dubai International Cricket Stadium,Multan Sultans,Lahore Qalandars,114,10,4,15,2,13,62,41,0,19,8,115,4,Lahore Qalandars,0,3,2,0,5.7,12.5,51.67,6.83,3.8
1128838,2018,Dubai International Cricket Stadium,Islamabad United,Peshawar Zalmi,182,5,7,25,9,16,47,39,1,73,2,156,9,Islamabad United,1,0,4,0,9.1,20.83,39.17,6.5,14.6
1128839,2018,Dubai International Cricket Stadium,Karachi Kings,Multan Sultans,188,3,15,23,7,16,42,30,1,82,2,125,10,Karachi Kings,1,1,3,0,9.4,19.17,35.0,5.0,16.4
1128840,2018,Dubai International Cricket Stadium,Peshawar Zalmi,Quetta Gladiators,157,5,4,20,10,10,51,33,1,58,1,158,4,Quetta Gladiators,0,4,5,0,7.85,16.67,42.5,5.5,11.6
1128841,2018,Dubai International Cricket Stadium,Karachi Kings,Lahore Qalandars,163,5,12,20,3,17,40,36,1,58,3,163,8,No result,0,1,2,0,8.15,16.67,33.33,6.0,11.6
1128842,2018,Sharjah Cricket Stadium,Islamabad United,Multan Sultans,185,4,9,26,8,18,50,46,1,62,2,152,10,Islamabad United,1,0,3,7,9.25,21.67,41.67,7.67,12.4
1128843,2018,Sharjah Cricket Stadium,Lahore Qalandars,Quetta Gladiators,186,4,6,26,10,16,47,42,0,70,1,169,6,Lahore Qalandars,1,2,5,7,9.3,21.67,39.17,7.0,14.0
1128844,2018,Sharjah Cricket Stadium,Peshawar Zalmi,Karachi Kings,181,6,7,24,14,10,48,24,1,78,3,137,8,Peshawar Zalmi,1,4,1,7,9.05,20.0,40.0,4.0,15.6
1128845,2018,Sharjah Cricket Stadium,Quetta Gladiators,Islamabad United,147,7,10,14,6,8,44,29,1,43,4,149,4,Islamabad United,0,5,0,7,7.35,11.67,36.67,4.83,8.6
1128846,2018,Sharjah Cricket Stadium,Lahore Qalandars,Peshawar Zalmi,172,4,5,21,13,8,47,40,2,55,1,176,3,Peshawar Zalmi,0,2,4,7,8.6,17.5,39.17,6.67,11.0
1128847,2018,Sharjah Cricket Stadium,Islamabad United,Karachi Kings,124,10,6,15,5,10,60,22,2,20,4,125,3,Karachi Kings,0,0,1,7,6.2,12.5,50.0,3.67,4.0
1128848,2018,Dubai International Cricket Stadium,Karachi Kings,Islamabad United,154,4,4,16,7,9,43,21,2,73,1,155,2,Islamabad United,0,1,0,0,7.7,13.33,35.83,3.5,14.6
1128849,2018,Gaddafi Stadium,Peshawar Zalmi,Quetta Gladiators,157,10,4,24,5,19,57,37,2,56,5,156,9,Peshawar Zalmi,1,4,5,1,7.85,20.0,47.5,6.17,11.2
1128850,2018,Gaddafi Stadium,Peshawar Zalmi,Karachi Kings,170,7,8,24,14,10,41,54,0,17,3,157,2,Peshawar Zalmi,1,4,1,1,8.5,20.0,34.17,9.0,3.4
1128851,2018,National Stadium,Peshawar Zalmi,Islamabad United,148,9,5,18,6,12,50,36,2,47,5,154,7,Islamabad United,0,4,0,4,7.4,15.0,41.67,6.0,9.4
1168820,2019,Dubai International Cricket Stadium,Lahore Qalandars,Islamabad United,171,8,9,20,6,14,41,45,0,41,6,177,5,Islamabad United,0,2,0,0,8.55,16.67,34.17,7.5,8.2
1168821,2019,Dubai International Cricket Stadium,Karachi Kings,Multan Sultans,183,6,7,20,7,13,35,45,0,47,6,176,9,Karachi Kings,1,1,3,0,9.15,16.67,29.17,7.5,9.4
1168822,2019,Dubai International Cricket Stadium,Peshawar Zalmi,Quetta Gladiators,155,4,6,19,8,11,49,35,1,59,1,161,4,Quetta Gladiators,0,4,5,0,7.75,15.83,40.83,5.83,11.8
1168823,2019,Dubai International Cricket Stadium,Islamabad United,Multan Sultans,125,7,2,10,6,4,49,26,2,38,1,126,5,Multan Sultans,0,0,3,0,6.25,8.33,40.83,4.33,7.6
1168824,2019,Dubai International Cricket Stadium,Lahore Qalandars,Karachi Kings,138,6,5,12,4,8,37,37,0,38,3,116,10,Lahore Qalandars,1,2,1,0,6.9,10.0,30.83,6.17,7.6
1168825,2019,Dubai International Cricket Stadium,Islamabad United,Quetta Gladiators,157,8,8,21,4,17,55,24,3,66,2,161,3,Quetta Gladiators,0,0,5,0,7.85,17.5,45.83,4.0,13.2
1168826,2019,Dubai International Cricket Stadium,Lahore Qalandars,Peshawar Zalmi,78,10,7,10,0,10,53,33,2,3,1,81,3,Peshawar Zalmi,0,2,4,0,3.9,8.33,44.17,5.5,0.6
1168827,2019,Sharjah Cricket Stadium,Multan Sultans,Quetta Gladiators,160,9,13,19,3,16,49,41,1,60,6,161,2,Quetta Gladiators,0,3,5,7,8.0,15.83,40.83,6.83,12.0
1168828,2019,Sharjah Cricket Stadium,Peshawar Zalmi,Karachi Kings,153,8,13,16,3,13,47,25,1,67,4,109,9,Peshawar Zalmi,1,4,1,7,7.65,13.33,39.17,4.17,13.4
1168829,2019,Sharjah Cricket Stadium,Multan Sultans,Lahore Qalandars,200,6,11,25,12,13,45,54,0,45,4,204,5,Lahore Qalandars,0,3,2,7,10.0,20.83,37.5,9.0,9.0
1168830,2019,Sharjah Cricket Stadium,Islamabad United,Peshawar Zalmi,158,9,11,16,6,10,48,33,1,54,6,146,10,Islamabad United,1,0,4,7,7.9,13.33,40.0,5.5,10.8
1168831,2019,Sharjah Cricket Stadium,Lahore Qalandars,Quetta Gladiators,143,7,11,8,5,3,41,40,1,42,3,148,7,Quetta Gladiators,0,2,5,7,7.15,6.67,34.17,6.67,8.4
1168832,2019,Sharjah Cricket Stadium,Karachi Kings,Islamabad United,143,6,2,15,4,11,39,27,3,69,0,147,3,Islamabad United,0,1,0,7,7.15,12.5,32.5,4.5,13.8
1168833,2019,Sharjah Cricket Stadium,Multan Sultans,Peshawar Zalmi,145,10,15,13,5,8,52,32,1,33,7,146,5,Peshawar Zalmi,0,3,4,7,7.25,10.83,43.33,5.33,6.6
1168834,2019,Sharjah Cricket Stadium,Quetta Gladiators,Karachi Kings,186,5,19,19,12,7,47,45,1,62,2,188,4,Karachi Kings,0,5,1,7,9.3,15.83,39.17,7.5,12.4
1168835,2019,Dubai International Cricket Stadium,Islamabad United,Multan Sultans,121,10,4,17,5,12,56,42,3,27,4,122,4,Multan Sultans,0,0,3,0,6.05,14.17,46.67,7.0,5.4
1168836,2019,Dubai International Cricket Stadium,Quetta Gladiators,Lahore Qalandars,106,10,8,9,2,7,60,43,1,19,5,107,2,Lahore Qalandars,0,5,2,0,5.3,7.5,50.0,7.17,3.8
1168837,2019,Dubai International Cricket Stadium,Karachi Kings,Islamabad United,168,8,4,22,5,17,43,54,1,41,6,169,5,Islamabad United,0,1,0,0,8.4,18.33,35.83,9.0,8.2
1168838,2019,Dubai International Cricket Stadium,Multan Sultans,Peshawar Zalmi,172,5,9,21,6,15,43,47,1,51,3,176,3,Peshawar Zalmi,0,3,4,0,8.6,17.5,35.83,7.83,10.2
1168839,2019,Dubai International Cricket Stadium,Lahore Qalandars,Karachi Kings,133,5,4,15,4,11,56,33,1,48,1,134,5,Karachi Kings,0,2,1,0,6.65,12.5,46.67,5.5,9.6
1168840,2019,Dubai International Cricket Stadium,Islamabad United,Peshawar Zalmi,176,10,8,23,4,19,46,38,1,49,8,177,6,Peshawar Zalmi,0,0,4,0,8.8,19.17,38.33,6.33,9.8
1168841,2019,Dubai International Cricket Stadium,Multan Sultans,Quetta Gladiators,121,10,10,11,2,9,62,30,1,38,7,122,4,Quetta Gladiators,0,3,5,0,6.05,9.17,51.67,5.0,7.6
1168842,2019,Sheikh Zayed Stadium,Peshawar Zalmi,Quetta Gladiators,165,4,6,23,7,16,51,41,0,63,2,166,2,Quetta Gladiators,0,4,5,8,8.25,19.17,42.5,6.83,12.6
1168843,2019,Sheikh Zayed Stadium,Multan Sultans,Karachi Kings,118,7,9,11,0,11,54,26,2,37,2,120,5,Karachi Kings,0,3,1,8,5.9,9.17,45.0,4.33,7.4
1168844,2019,Sheikh Zayed Stadium,Lahore Qalandars,Peshawar Zalmi,124,7,2,15,3,12,55,22,2,41,3,125,6,Peshawar Zalmi,0,2,4,8,6.2,12.5,45.83,3.67,8.2
1168845,2019,Sheikh Zayed Stadium,Quetta Gladiators,Islamabad United,180,9,14,23,7,16,59,45,1,59,6,137,9,Quetta Gladiators,1,5,0,8,9.0,19.17,49.17,7.5,11.8
1168846,2019,National Stadium,Peshawar Zalmi,Karachi Kings,203,7,8,29,9,20,43,49,0,53,5,142,10,Peshawar Zalmi,1,4,1,4,10.15,24.17,35.83,8.17,10.6
1168847,2019,National Stadium,Islamabad United,Lahore Qalandars,238,3,8,36,16,20,34,63,2,88,0,189,9,Islamabad United,1,0,2,4,11.9,30.0,28.33,10.5,17.6
1168848,2019,National Stadium,Karachi Kings,Quetta Gladiators,190,5,9,23,9,14,37,40,0,73,3,189,7,Karachi Kings,1,1,5,4,9.5,19.17,30.83,6.67,14.6
1168849,2019,National Stadium,Lahore Qalandars,Multan Sultans,140,8,6,18,4,14,55,27,1,52,4,141,3,Multan Sultans,0,2,3,4,7.0,15.0,45.83,4.5,10.4
1168850,2019,National Stadium,Karachi Kings,Islamabad United,161,9,3,20,3,17,35,61,1,36,6,164,6,Islamabad United,0,1,0,4,8.05,16.67,29.17,10.17,7.2
1168851,2019,National Stadium,Quetta Gladiators,Peshawar Zalmi,186,6,9,25,8,17,43,53,1,52,3,176,7,Quetta Gladiators,1,5,4,4,9.3,20.83,35.83,8.83,10.4
1168852,2019,National Stadium,Peshawar Zalmi,Islamabad United,214,5,10,32,11,21,41,51,0,75,3,166,9,Peshawar Zalmi,1,4,0,4,10.7,26.67,34.17,8.5,15.0
1168853,2019,National Stadium,Peshawar Zalmi,Quetta Gladiators,138,8,10,16,3,13,54,38,2,44,4,139,2,Quetta Gladiators,0,4,5,4,6.9,13.33,45.0,6.33,8.8
1211642,2020,National Stadium,Islamabad United,Quetta Gladiators,168,10,9,21,4,17,40,49,2,46,6,171,7,Quetta Gladiators,0,0,5,4,8.4,17.5,33.33,8.17,9.2
1211643,2020,National Stadium,Karachi Kings,Peshawar Zalmi,201,4,9,25,9,16,38,40,1,69,2,191,7,Karachi Kings,1,1,4,4,10.05,20.83,31.67,6.67,13.8
1211644,2020,Gaddafi Stadium,Lahore Qalandars,Multan Sultans,138,8,5,18,7,11,61,53,0,38,3,142,5,Multan Sultans,0,2,3,1,6.9,15.0,50.83,8.83,7.6
1211645,2020,National Stadium,Quetta Gladiators,Peshawar Zalmi,148,5,5,16,4,12,44,34,1,40,3,153,4,Peshawar Zalmi,0,5,4,4,7.4,13.33,36.67,5.67,8.0
1211646,2020,Gaddafi Stadium,Multan Sultans,Islamabad United,164,8,7,21,5,16,41,31,0,61,4,165,2,Islamabad United,0,3,0,1,8.2,17.5,34.17,5.17,12.2
1211647,2020,National Stadium,Karachi Kings,Quetta Gladiators,156,9,16,18,4,14,53,35,1,59,4,157,5,Quetta Gladiators,0,1,5,4,7.8,15.0,44.17,5.83,11.8
1211648,2020,Gaddafi Stadium,Lahore Qalandars,Islamabad United,182,6,7,25,9,16,47,54,1,73,2,183,9,Islamabad United,0,2,0,1,9.1,20.83,39.17,9.0,14.6
1211649,2020,Multan Cricket Stadium,Peshawar Zalmi,Multan Sultans,123,10,6,17,2,15,61,41,2,20,3,124,4,Multan Sultans,0,4,3,3,6.15,14.17,50.83,6.83,4.0
1211650,2020,Rawalpindi Cricket Stadium,Islamabad United,Quetta Gladiators,187,7,7,25,12,13,50,50,2,47,3,190,5,Quetta Gladiators,0,0,5,6,9.35,20.83,41.67,8.33,9.4
1211651,2020,Multan Cricket Stadium,Multan Sultans,Karachi Kings,186,6,7,22,7,15,36,39,1,67,4,134,10,Multan Sultans,1,3,1,3,9.3,18.33,30.0,6.5,13.4
1211652,2020,Rawalpindi Cricket Stadium,Peshawar Zalmi,Lahore Qalandars,132,7,4,18,10,8,29,70,2,0,0,116,6,Peshawar Zalmi,1,4,2,6,6.6,15.0,24.17,11.67,0.0
1211653,2020,Multan Cricket Stadium,Multan Sultans,Quetta Gladiators,199,5,8,30,6,24,44,35,1,86,2,169,7,Multan Sultans,1,3,5,3,9.95,25.0,36.67,5.83,17.2
1211655,2020,Rawalpindi Cricket Stadium,Islamabad United,Karachi Kings,183,3,5,23,8,15,41,40,1,77,0,187,5,Karachi Kings,0,0,1,6,9.15,19.17,34.17,6.67,15.4
1211656,2020,Rawalpindi Cricket Stadium,Peshawar Zalmi,Karachi Kings,151,8,10,15,3,12,49,17,3,62,4,152,4,Karachi Kings,0,4,1,6,7.55,12.5,40.83,2.83,12.4
1211657,2020,Gaddafi Stadium,Lahore Qalandars,Quetta Gladiators,209,5,3,31,13,18,39,37,1,96,2,172,10,Lahore Qalandars,1,2,5,1,10.45,25.83,32.5,6.17,19.2
1211658,2020,Gaddafi Stadium,Islamabad United,Lahore Qalandars,198,3,7,29,6,23,36,40,0,72,1,127,10,Islamabad United,1,0,2,1,9.9,24.17,30.0,6.67,14.4
1211659,2020,Rawalpindi Cricket Stadium,Peshawar Zalmi,Quetta Gladiators,170,6,7,25,8,17,32,41,2,13,0,140,7,Peshawar Zalmi,1,4,5,6,8.5,20.83,26.67,6.83,2.6
1211661,2020,Rawalpindi Cricket Stadium,Islamabad United,Peshawar Zalmi,195,5,8,20,9,11,36,48,2,56,2,85,2,Peshawar Zalmi,0,0,4,6,9.75,16.67,30.0,8.0,11.2
1211662,2020,Gaddafi Stadium,Quetta Gladiators,Lahore Qalandars,98,9,15,10,2,8,85,21,3,43,2,100,2,Lahore Qalandars,0,5,2,1,4.9,8.33,70.83,3.5,8.6
1211663,2020,Rawalpindi Cricket Stadium,Islamabad United,Multan Sultans,91,7,9,11,5,6,23,59,2,0,0,94,1,Multan Sultans,0,0,3,6,4.55,9.17,19.17,9.83,0.0
1211664,2020,Gaddafi Stadium,Karachi Kings,Lahore Qalandars,187,5,3,27,10,17,42,37,1,86,1,190,2,Lahore Qalandars,0,1,2,1,9.35,22.5,35.0,6.17,17.2
